"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",22.93,,0.71,0.20%,23231
2,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",4224.75,,9.87,9.18%,75727387
3,"AAME","Atlantic American Corporation","Financial","Insurance - Life","USA",39.43,,1.93,0.00%,1279
4,"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductors","USA",177.10,,8.35,2.45%,779410
5,"AAON","AAON, Inc.","Industrials","Building Products & Equipment","USA",2556.56,41.69,51.07,6.95%,217804
6,"AAPL","Apple Inc.","Technology","Consumer Electronics","USA",1373260.21,24.69,314.96,2.36%,33746872
7,"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Airports & Air Services","USA",1056.61,,38.45,8.40%,728743
8,"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund","USA",,,65.34,3.37%,1279840
9,"AAXN","Axon Enterprise, Inc.","Industrials","Aerospace & Defense","USA",4580.68,,74.86,1.29%,659322
10,"ABCB","Ameris Bancorp","Financial","Banks - Regional","USA",1480.55,9.53,21.76,12.40%,639940
11,"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology","USA",265.18,,3.01,-1.31%,978497
12,"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology","USA",6.12,,3.73,-1.06%,13649
13,"ABMD","Abiomed, Inc.","Healthcare","Medical Devices","USA",8568.59,43.17,191.05,3.31%,361761
14,"ABTX","Allegiance Bancshares, Inc.","Financial","Banks - Regional","USA",499.42,11.79,24.35,8.95%,141278
15,"ABUS","Arbutus Biopharma Corporation","Healthcare","Biotechnology","USA",113.00,,1.87,-10.95%,2779506
16,"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology","USA",7560.15,,52.06,2.42%,1317671
17,"ACAM","Acamar Partners Acquisition Corp.","Industrials","Conglomerates","USA",383.51,110.44,10.05,0.00%,0
18,"ACBI","Atlantic Capital Bancshares, Inc.","Financial","Banks - Regional","USA",235.29,10.66,11.13,11.86%,123592
19,"ACER","Acer Therapeutics Inc.","Healthcare","Biotechnology","USA",37.98,,3.50,6.71%,100979
20,"ACGL","Arch Capital Group Ltd.","Financial","Insurance - Diversified","Bermuda",9825.85,7.79,24.36,6.01%,1811194
21,"ACGLO","Arch Capital Group Ltd.","Financial","Insurance - Diversified","Bermuda",9747.09,7.76,24.19,0.54%,11343
22,"ACGLP","Arch Capital Group Ltd.","Financial","Insurance - Diversified","Bermuda",9384.45,7.47,23.29,1.13%,20023
23,"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Medical Care Facilities","USA",2279.98,20.16,25.90,4.77%,913674
24,"ACHV","Achieve Life Sciences, Inc.","Healthcare","Biotechnology","Canada",12.70,,0.38,4.11%,623953
25,"ACIA","Acacia Communications, Inc.","Technology","Communication Equipment","USA",2858.46,70.01,67.56,0.45%,875796
26,"ACIU","AC Immune SA","Healthcare","Biotechnology","Switzerland",508.86,,7.42,-0.40%,114253
27,"ACIW","ACI Worldwide, Inc.","Technology","Software - Infrastructure","USA",2913.25,44.71,25.62,5.26%,1190381
28,"ACLS","Axcelis Technologies, Inc.","Technology","Semiconductor Equipment & Materials","USA",840.17,36.62,23.95,1.83%,360008
29,"ACMR","ACM Research, Inc.","Technology","Semiconductor Equipment & Materials","USA",1182.51,64.91,63.61,8.35%,569839
30,"ACNB","ACNB Corporation","Financial","Banks - Regional","USA",212.03,9.94,23.69,11.64%,47875
31,"ACOR","Acorda Therapeutics, Inc.","Healthcare","Biotechnology","USA",39.42,,0.83,5.40%,2976000
32,"ACRS","Aclaris Therapeutics, Inc.","Healthcare","Biotechnology","USA",54.82,,1.30,0.78%,213349
33,"ACRX","AcelRx Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",119.61,,1.43,2.14%,776430
